"label"	"lineagemut2"
"TN|Pergine_Valsugana|Ph1_RUN3_NB14|20A|B.1|2020/03/21"	"B.1"
"TN|Pergine_Valsugana|Ph1_RUN3_NB16|20A|B.1|2020/03/09"	"B.1"
"TN|Predazzo|Ph1_RUN1_NB07|20A|B.1|2020/03/09"	"B.1"
"TN|Riva_del_Garda|Ph1_RUN1_NB01|20A|B.1|2020/03/05"	"B.1"
"TN|Riva_del_Garda|Ph1_RUN2_NB02|20A|B.1|2020/03/08"	"B.1"
"TN|Rovereto|Ph1_RUN2_NB10|20A|B.1|2020/03/19"	"B.1"
"TN|Rovereto|Ph1_RUN2_NB15|20A|B.1|2020/03/20"	"B.1"
"TN|Rovereto|Ph1_RUN2_NB23|20A|B.1|2020/03/12"	"B.1"
"TN|Rovereto|Ph1_RUN3_NB09|20A|B.1|2020/03/19"	"B.1"
"TN|Rovereto|Ph1_RUN3_NB17|20A|B.1|2020/03/11"	"B.1"
"TN|Rovereto|Ph1_RUN3_NB21|20A|B.1|2020/03/12"	"B.1"
"TN|Tesero|Ph1_RUN1_NB08|20B|B.1.1|2020/03/10"	"B.1.1"
"TN|Tesero|Ph1_RUN2_NB07|20A|B.1|2020/03/09"	"B.1"
"TN|Tione_di_Trento|Ph1_RUN1_NB24|20A|B.1|2020/03/11"	"B.1"
"TN|Tione_di_Trento|Ph1_RUN2_NB18|20A|B.1|2020/03/10"	"B.1"
"TN|Ton|Ph1_RUN2_NB12|20B|B.1.1.29|2020/03/20"	"B.1.1.29"
"TN|Trento|Ph1_RUN1_NB16|20A|B.1|2020/03/20"	"B.1"
"TN|Trento|Ph1_RUN1_NB17|20A|B.1|2020/03/22"	"B.1"
"TN|Trento|Ph1_RUN1_NB19|20A|B.1|2020/03/10"	"B.1"
"TN|Trento|Ph1_RUN1_NB20|20A|B.1|2020/03/10"	"B.1"
"TN|Trento|Ph1_RUN2_NB17|20A|B.1|2020/03/09"	"B.1"
"TN|Trento|Ph1_RUN2_NB22|20A|B.1|2020/03/12"	"B.1"
"TN|Trento|Ph1_RUN3_NB15|20A|B.1|2020/03/21"	"B.1"
"TN|Trento|Ph1_RUN3_NB19|20A|B.1|2020/03/11"	"B.1"
"TN|Trento|Ph1_RUN3_NB22|20A|B.1|2020/03/12"	"B.1"
"TN|Trento|Ph1_RUN3_NB23|20A|B.1|2020/03/11"	"B.1"
"TN|Trento|Ph1_RUN3_NB24|20A|B.1|2020/03/11"	"B.1"
"TN|UNKNOWN|Ph1_RUN1_NB02|20A|B.1|2020/03/06"	"B.1"
"TN|UNKNOWN|Ph1_RUN2_NB13|20A|B.1|2020/03/20"	"B.1"
"TN|UNKNOWN|Ph1_RUN2_NB14|20A|B.1|2020/03/20"	"B.1"
"TN|UNKNOWN|Ph1_RUN3_NB05|20A|B.1|2020/03/09"	"B.1"
"TN|Vermiglio|Ph1_RUN1_NB09|20B|B.1.1|2020/03/11"	"B.1.1"
"TN|Vermiglio|Ph1_RUN1_NB10|20A|B.1|2020/03/12"	"B.1"
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
